title,authors,average_rating,publication_year
The Trial of Queen Caroline: The Scandalous Affair that Nearly Ended a Monarchy,Jane Robins,3.39,2006
Bookends,Jane Green,3.72,2003
Jemima J.: For those who love Faking Friends and My Sweet Revenge by Jane Fallon,Jane Green,3.65,1998
Open House,Elizabeth Berg,3.7,2001
Feeling Better  Getting Better  Staying Better: Profound Self-Help Therapy for Your Emotions,Albert Ellis,3.76,2001
American Sphinx: The Character of Thomas Jefferson,Joseph J. Ellis,3.92,1998
Line Of Vision,David Ellis,3.81,2002
The Other Woman,Jane Green,3.7,2006
No Other Woman (No Other  #2),Shannon Drake,3.78,1996
The Other Woman (Dundee  Idaho  #7),Brenda Novak,4.11,2006
The Other Woman,Ann  O'Leary,3.64,1999
Sins of a Shaker Summer (Sister Rose Callahan  #3),Deborah Woodworth,3.52,1999
InuYasha Ani-Manga  Vol. 1 (Inuyasha Ani-Manga  #1),Rumiko Takahashi,4.36,2004
Pusteblume,Marian Keyes,3.81,2001
¿Quién te lo ha contado?,Marian Keyes,3.79,2005
Une vie de rêve,Marian Keyes,3.69,2005
Por los pelos,Marian Keyes,3.81,2002
Under the Duvet,Marian Keyes,3.52,2009
Rachel se va de viaje (La familia Walsh  #2),Marian Keyes,3.95,2003
Yeats ist tot!,Joseph O'Connor/Diethard Herles/Pauline McLynn/Gerard Stembridge/Frank McCourt/Conor McPherson/Gene Kerrigan/Gina Moxley/Marian Keyes/Anthony Cronin/Owen O'Neill/Hugo Hamilton/Charlie O'Neill/Tom Humphries/Donal O'Kelly,3.4,2003
Le Club de la dernière chance,Marian Keyes,3.81,2003
Les vacances de Rachel (Walsh Family  #2),Marian Keyes/Roxane Azimi,3.95,2002
Rachel se va de viaje (La familia Walsh  #2),Marian Keyes,3.95,2003
Auszeit für Engel Walsh Family  #3),Marian Keyes,3.75,2003
Open House,Elizabeth Berg,3.7,2003
Slightly Settled (Slightly  #2),Wendy Markham,3.68,2004
犬夜叉 8,Rumiko Takahashi,4.26,1998
犬夜叉 7,Rumiko Takahashi,4.27,1998
犬夜叉 24,Rumiko Takahashi,4.26,2001
犬夜叉 28,Rumiko Takahashi,4.29,2002
犬夜叉 4,Rumiko Takahashi,4.29,1997
犬夜叉 22,Rumiko Takahashi,4.25,2001
犬夜叉 26,Rumiko Takahashi,4.28,2002
犬夜叉 12,Rumiko Takahashi,4.25,1999
犬夜叉 17,Rumiko Takahashi,4.25,2000
犬夜叉 14,Rumiko Takahashi,4.3,2000
犬夜叉 10,Rumiko Takahashi,4.28,1999
犬夜叉 1,Rumiko Takahashi,4.27,1997
犬夜叉  27,Rumiko Takahashi,4.28,2002
The Return of Lum  Volume 3: Sweet Revenge (Urusei Yatsura  #4),Rumiko Takahashi,3.97,1997
The Return of Lum  Volume 5: Feudal Furor (Urusei Yatsura  #6),Rumiko Takahashi,4.04,1997
Lamu: Urusei Yatsura  3,Rumiko Takahashi,4.08,2005
The Return of Lum  Volume 1: Urusei Yatsura (Urusei Yatsura  #2),Rumiko Takahashi,4.11,1995
Lum: Urusei Yatsura. Perfect Collection (Urusei Yatsura  #1),Rumiko Takahashi,3.97,1997
らんま½ 12,Rumiko Takahashi,4.06,2002
Ranma 1/2  Vol. 12 (Ranma ½ (US 2nd)  #12),Rumiko Takahashi,4.11,2004
Your and My Secret  Vol. 1,Ai Morinaga,3.54,2004
A Man Rides Through (Mordant's Need  #2),Stephen R. Donaldson,4.02,2003
The One Tree (The Second Chronicles of Thomas Covenant  #2),Stephen R. Donaldson,3.98,1996
The Gap Into Madness: Chaos and Order (Gap  #4),Stephen R. Donaldson,4.15,1994
The Gap Into Vision: Forbidden Knowledge (Gap  #2),Stephen R. Donaldson,3.99,2010
The One Tree (The Second Chronicles of Thomas Covenant  #2),Stephen R. Donaldson,3.98,1997
The Gap Into Power: A Dark and Hungry God Arises (Gap  #3),Stephen R. Donaldson,4.08,2009
Pretty Face  Vol. 1,Yasuhiro Kano,3.83,2007
Not Just a Pretty Face: Dolls and Human Figurines in Alaska Native Cultures,Molly C. Lee/Angela J. Linn/Chase Hensel/James H. Barker,3.5,2006
Just Another Pretty Face (Hollywood Dynasty  #2),Candace Schuler,3.89,1993
Skylight Confessions,Alice Hoffman,3.64,2007
The Foretelling,Alice Hoffman,3.84,2006
Incantation,Alice Hoffman,3.88,2006
Practical Magic (Practical Magic #1),Alice Hoffman,3.78,2003
The Probable Future,Alice Hoffman,3.83,2004
The Complete Stories,Franz Kafka/Nahum N. Glatzer/John Updike/Willa Muir/Edwin Muir/Tania Stern/James Stern/Ernst Kaiser/Eithne Wilkins,4.35,1995
Amerika,Franz Kafka/Willa Muir/Edwin Muir/Klaus Mann/E.L. Doctorow,3.75,1996
Collected Stories,Franz Kafka/Willa Muir/Edwin Muir/Gabriel Josipovici,4.35,1993
Kafka: Toward a Minor Literature,Gilles Deleuze/Félix Guattari/Franz Kafka,4.17,1986
The Annotated Brothers Grimm,Jacob Grimm/Wilhelm Grimm/Maria Tatar/A.S. Byatt/George Cruikshank/Paul Hey/Walter Crane/Warwick Goble/Kay Nielsen/Arthur Rackham,4.46,2004
The Complete Brothers Grimm Fairy Tales,Jacob Grimm/Wilhelm Grimm,4.3,2006
The Complete Fairy Tales of The Brothers Grimm,Jacob Grimm/Wilhelm Grimm/Jack D. Zipes/Johnny Gruelle,4.3,2003
Beyond Innocence (Beyond Duet  #1),Emma Holly,3.62,2001
Emma  Vol. 01,Kaoru Mori/森 薫,3.83,2006
Drum Into Silence (Drums of Chaos  #3),Jo Clayton/Kevin Andrew Murphy,3.41,2004
Dance Down the Stars (Duel of Sorcery: Dancer  #3),Jo Clayton,3.74,1994
Drum Calls (Drums of Chaos  #2),Jo Clayton,3.72,1998
Fire in the Sky (Diadem: Shadowsong  #1),Jo Clayton,3.87,1995
Quester's Endgame,Jo Clayton,3.98,1986
Shadowkill (Diadem: Shadith's Quest  #3),Jo Clayton/Jo Clayton,3.99,1991
Lidia's Family Table,Lidia Matticchio Bastianich/David Nussbaum/Christopher Hirsheimer,4.22,2004
Lidia's Italy,Lidia Matticchio Bastianich/Tanya Bastianich Manuali/David Nussbaum/Christopher Hirsheimer,4.21,2007
La Cucina Di Lidia: Recipes and Memories from Italy's Adriatic Coast,Lidia Matticchio Bastianich/Jay Jacobs,4.14,2003
Blood Wedding and Yerma,Federico García Lorca/W.S. Merwin/Langston Hughes,3.84,1994
Selected Verse,Federico García Lorca/Christopher Maurer,4.43,2004
Operation Wandering Soul,Richard Powers,3.61,2002
Galatea 2.2,Richard Powers,3.72,2004
Three Farmers on Their Way to a Dance,Richard Powers,3.82,1994
Christian Theology: An Introduction,Alister E. McGrath,4.04,2006
The Time of Our Singing,Richard Powers,4.25,2004
The Christian Theology Reader,Alister E. McGrath,4.17,2006
Prisoner's Dilemma,Richard Powers,3.87,2002
In the Beginning: The Story of the King James Bible and How it Changed a Nation  a Language  and a Culture,Alister E. McGrath,3.97,2002
Gain,Richard Powers,3.77,2001
Presidential Power and the Modern Presidents: The Politics of Leadership from Roosevelt to Reagan,Richard E. Neustadt,3.77,1991
The Grotesque,Patrick McGrath,3.62,1997
Port Mungo,Patrick McGrath,3.32,2005
Entre Amis: An Interactive Approach,Michael D. Oates/Larbi Oukada,3.39,2005
Experience,Martin Amis,3.96,2001
Heavy Water and Other Stories,Martin Amis,3.39,2000
Visiting Mrs Nabokov and Other Excursions,Martin Amis,3.7,2005
Intimacy And Other Stories,Hanif Kureishi,3.58,2001
The Buddha of Suburbia,Hanif Kureishi,3.73,2000
Image-Music-Text,Roland Barthes/Stephen Heath,4.1,1993
Camera Lucida: Reflections on Photography,Roland Barthes/Richard Howard,3.97,2001
The Fashion System,Roland Barthes/Matthew    Ward/Richard Howard,3.54,1990
The Responsibility of Forms: Critical Essays on Music  Art  and Representation,Roland Barthes/Richard Howard,3.95,1991
The Pleasure of the Text,Roland Barthes/Richard Miller,4.02,1976
How to Travel with a Salmon & Other Essays,Umberto Eco/William Weaver,3.85,2001
How to Travel with a Salmon and Other Essays,Umberto Eco/William Weaver,3.85,1994
Le Nom de la rose,Umberto Eco/Jean-Noël Schifano,4.12,1983
Os libros arden mal,Manuel Rivas,3.36,2006
The Age of Access: The New Culture of Hypercapitalism  Where All of Life Is a Paid-For Experience,Jeremy Rifkin/Ralph Fowler,3.82,2001
The Book of Questions,Pablo Neruda/William O'Daly,4.04,2001
Bugs for Lunch/Insectos para el almuerzo,Margery Facklam/Sylvia Long/Liliana Valenzuela,3.78,2002
My Story as told by Water: Confessions  Druidic Rants  Reflections  Bird-watchings  Fish-stalkings  Visions  Songs and Prayers Refracting Light  from Living Rivers  in the Age of the Industrial Dark,David James Duncan,4.1,2001
Pilgrims and Other Stories,Elizabeth Gilbert,3.13,1998
The Last American Man,Elizabeth Gilbert,3.81,2003
Pilgrims Pa,Elizabeth Gilbert,3.13,1998
Stern Men,Elizabeth Gilbert,3.41,2001
A Writer's Workbook: Daily Exercises for the Writing Life,Caroline Sharp/Elizabeth Gilbert,3.72,2002
Size 14 Is Not Fat Either (Heather Wells  #2),Meg Cabot,3.83,2006
Missing You (1-800-Where-R-You  #5),Meg Cabot,4.17,2006
Queen of Babble (Queen of Babble  #1),Meg Cabot,3.69,2006
Size 12 Is Not Fat (Heather Wells  #1),Meg Cabot,3.74,2005
How to Be Popular,Meg Cabot,3.55,2006
Valentine Princess (The Princess Diaries  #7.75),Meg Cabot,3.67,2006
Darkest Hour (The Mediator  #4),Meg Cabot,4.17,2004
She Went All the Way,Meg Cabot,3.7,2002
Are We There Yet?,David Levithan,3.49,2005
Boy Meets Boy,David Levithan,3.84,2005
This Is Push: New Stories from the Edge,David Levithan/Patricia McCormick/Matthue Roth/Kevin Waltman/Samantha Schutz/Coe Booth/Eddie de Oliveira/Tanuja Desai Hidier/Kevin Brooks/Chris Wooding/Markus Zusak/Brian James/Kristen Kemp/Eireann Corrigan/Christopher Krovatin/Billy Merrell,3.63,2007
The Realm of Possibility,David Levithan,3.93,2006
Ten Things I Hate about You,David Levithan,4.11,1999
Where We Are  What We See: The Best Young Writers and Artists in America,David Levithan,3.76,2005
Aphrodite's Passion (Superhero Central #2),Julie Kenner,3.62,2002
The Manolo Matrix (Codebreaker Trilogy #2),Julie Kenner,3.62,2006
The Cat's Fancy,Julie Kenner,3.57,2000
Demons Are Forever (Demon-Hunting Soccer Mom  #3),Julie Kenner,3.89,2007
Aphrodite's Secret (Superhero Central #3),Julie Kenner,3.7,2003
The Good Ghouls' Guide to Getting Even (Beth Frasier #1),Julie Kenner,3.59,2007
Aphrodite's Flame (Superhero Central #4),Julie Kenner,3.67,2004
Carpe Demon (Demon-Hunting Soccer Mom  #1),Julie Kenner,3.64,2006
Perfect Circle,Sean Stewart,3.8,2004
The Great Philosophers: An Introduction to Western Philosophy,Bryan Magee/Myles Burnyeat/Martha C. Nussbaum/Anthony Kenny/Bernard Williams/Anthony Quinton/Michael  Ayres/John Passmore/Geoffrey Warnock/Peter Singer/Frederick Charles Copleston/J. P. Stern/Hubert L. Dreyfus/Sidney Morgenbesser/A.J. Ayer/John Rogers Searle,4.07,2001
Talking Philosophy: Dialogues with Fifteen Leading Philosophers,Bryan Magee/Isaiah Berlin/Charles Taylor/Herbert Marcuse/William Barrett/Anthony Quinton/A.J. Ayer/Bernard Williams/R. M. Hare/Willard Van Orman Quine/John Rogers Searle/Noam Chomsky/Hilary Putnam/Ronald Dworkin/Iris Murdoch/Ernest Gellner,4.06,2001
The Story of Philosophy: A Concise Introduction to the World's Greatest Thinkers and Their Ideas,Bryan Magee,4.14,2005
Feminist Measures: Soundings in Poetry and Theory,Lynn Keller/Lynn Keller,4.4,1994
Taxation of Mineral Rents,Ross Garnaut,5.0,1983
Dubliners,James Joyce/Margot Norris/Hans Walter Gabler/Walter Hettche,3.85,2006
Dubliners: Text  Criticism  and Notes,James Joyce/Robert Scholes/A. Walton Litz,3.85,1996
Dubliners,James Joyce/Frank McCourt/Donal Donnelly/Ciaran Hinds/Colm Meaney/Malachy McCourt,3.85,2005
CliffsNotes on Joyce's Dubliners (Cliffs Notes),Adam  Sexton/G. Tubach,3.4,2003
The Door to Time (Ulysses Moore  #1),Pierdomenico Baccalario/Iacopo Bruno/Laura Zuccotti/Leah D. Janeczko/Beth Dunfey,3.93,2006
Ulysses S. Grant: The Unlikely Hero,Michael Korda,3.87,2004
Ulysses S. Grant,Josiah Bunting/Arthur M. Schlesinger Jr.,3.89,2004
Allusions in Ulysses: An Annotated List,Weldon Thornton,4.04,1982
Ulysses Found,Ernle Bradford,4.07,2005
The Scandal of Ulysses: The Life And Afterlife of a Twentieth Century Masterpiece,Bruce Arnold,3.82,2005
Round Ireland with a Fridge,Tony Hawks,3.79,2001
Discovery of the Presence of God: Devotional Nonduality,David R. Hawkins,4.61,2007
Transcending the Levels of Consciousness: The Stairway to Enlightenment,David R. Hawkins,4.51,2006
The Eye of the I: From Which Nothing is Hidden,David R. Hawkins,4.38,2001
Letters to J. D. Salinger,Chris Kubica/Chris Kubica,3.5,2002
J.D. Salinger's Catcher in the Rye (Modern Critical Interpretations),Harold Bloom,3.58,2000
Lord of the Flies,William Golding,3.68,1959
Where Is Baby's Mommy? (A Lift-the-Flap Book),Karen Katz,4.15,2001
Counting Christmas,Karen Katz,3.53,2003
Running from the Deity (Pip & Flinx #11),Alan Dean Foster,3.81,2006
Lost and Found,Alan Dean Foster,3.68,2005
Reunion (Pip & Flinx #8),Alan Dean Foster,3.87,2002
The Dig,Alan Dean Foster,3.4,1998
Regarding the Fountain: A Tale  in Letters  of Liars and Leaks,Kate Klise/M. Sarah Klise,4.2,1999
Pimsleur German Level 1 CD: [Lessons 1-30],Pimsleur Language Programs,4.23,2010
The Architecture of Happiness,Alain de Botton,3.86,2006
The Consolations of Philosophy,Alain de Botton,4.01,2001
How Proust Can Change Your Life,Alain de Botton,3.76,1998
Kiss & Tell,Alain de Botton,3.56,1997
The Consolations of Philosophy,Alain de Botton,4.01,2001
Status Anxiety,Alain de Botton,3.91,2005
On Love,Alain de Botton,3.98,2006
Miracle at St. Anna,James   McBride,3.74,2003
Die Farbe von Wasser,James   McBride,4.09,2001
Dragons of Winter Night (Dragonlance: Chronicles #2),Margaret Weis/Tracy Hickman,4.12,2003
Dragons of Winter Night (Dragonlance: Chronicles  #2),Margaret Weis/Tracy Hickman,4.12,2007
Dragon's Treasure,Elizabeth A. Lynn,3.54,2005
Watchtower (Chronicles of Tornor  #1),Elizabeth A. Lynn,3.57,2004
Letters to a Young Artist,Anna Deavere Smith,4.02,2006
The Hip Chick's Guide to Macrobiotics: A Philosophy for Achieving a Radiant Mind and a Fabulous Body,Jessica Porter/Michio Kushi,3.69,2004
La casa en Mango Street,Sandra Cisneros/Elena Poniatowska,3.63,1994
Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),Harold Bloom/Terry Southern/David H. Goldsmith/James Lundquist/Lawrence R. Broer/Peter J. Reed/Loree Rackstraw/William S. Doxey/Jerome Klinkowitz/Richard Giannone/John L. Simons/Leonard Mustazza/Zoltan Ab di-Nagy/Peter Freese/Wendy B. Faris,4.35,2002
The Dharma Bums,Jack Kerouac/Ann  Douglas,3.92,2007
The Alchemist's Daughter,Katharine McMahon,3.25,2006
The Art of Fullmetal Alchemist: The Anime,Hiromu Arakawa/Akira Watanabe/Eric Searleman,4.44,2006
Fullmetal Alchemist  Vol. 11 (Fullmetal Alchemist  #11),Hiromu Arakawa/Akira Watanabe,4.59,2007
Astronomy Today,Eric Chaisson/Steve McMillan,3.99,2004
Astronomy For Dummies,Stephen P. Maran,3.84,2005
Astronomy: A Self-Teaching Guide,Dinah L. Moché,3.89,2004
Astronomy: A Beginner's Guide to the Universe,Eric Chaisson/Steve McMillan,3.88,2006
Bad Astronomy,Philip Plait,4.04,2002
The Complete World of Greek Mythology,Richard Buxton,4.24,2004
Mythology: Timeless Tales of Gods and Heroes,Edith Hamilton,4.0,1999
Mythology,Edith Hamilton/Steele Savage,4.0,1998
Mythology: The DC Comics Art of Alex Ross,Alex Ross/Geoff Spear/Chip Kidd,4.33,2005
Norse Mythology: A Guide to the Gods  Heroes  Rituals  and Beliefs,John Lindow,4.11,2002
Classic Myths to Read Aloud: The Great Stories of Greek and Roman Mythology  Specially Arranged for Children Five and Up by an Educational Expert,William F. Russell,4.12,1992
Snapshots From Hell: The Making Of An MBA,Peter M. Robinson,3.7,2005
Watchmen on the Walls,Hannah Hurnard,4.02,1998
America (The Book): A Citizen's Guide to Democracy Inaction  (Teacher's Edition),Jon   Stewart/Scott C. Jacobson,4.02,2006
The Children's Book of America,William J. Bennett/Michael Hague,4.19,1998
The Journal of Scott Pendleton Collins: A World War 2 Soldier,Walter Dean Myers,3.96,1999
The New Big Book of America,Todd Davis/Marc Frey,5.0,2002
Awake in the Dark: The Best of Roger Ebert,Roger Ebert/David Bordwell,4.2,2006
"Ebert's ""Bigger"" Little Movie Glossary",Roger Ebert/Ray Ebert,3.87,2005
The Perfect London Walk,Roger Ebert/Daniel Curley/Jack Lane,4.26,1986
The Truth with Jokes,Al Franken,3.86,2006
Lies & the Lying Liars Who Tell Them: A Fair & Balanced Look at the Right,Al Franken,3.81,2004
"Still More George W. Bushisms: ""Neither in French nor in English nor in Mexican""",Jacob Weisberg/Al Franken,3.37,2003
You're Good Enough  You're Smart Enough  & Doggone It  People Like You!,Al Franken,3.89,1992
I'm Good Enough  I'm Smart Enough  & Doggone It  People Like Me!,Al Franken/Melody Beattie/Stuart Smalley,3.82,1992
J.R.R. Tolkien: Artist and Illustrator,Wayne G. Hammond/Christina Scull/J.R.R. Tolkien,4.14,2000
The J.R.R. Tolkien Companion and Guide,Christina Scull/Wayne G. Hammond,4.64,2006
The Children of Húrin,J.R.R. Tolkien/Christopher Tolkien/Alan  Lee,3.97,2007
Tales Before Tolkien: The Roots of Modern Fantasy,Douglas A. Anderson/Frank R. Stockton/Ludwig Tieck/Richard Garnett/H. Rider Haggard/Andrew Lang/William Hope Hodgson/E.A. Wyke-Smith/David  Lindsay/Clemence Housman/George MacDonald/Arthur Machen/A. Merritt/L. Frank Baum/Kenneth Morris/William Morris/James Branch Cabell/Lord Dunsany/Francis Stevens/E.H. Knatchbull-Hugessen/E. Nesbit,3.93,2005
The J.R.R. Tolkien Companion and Guide  Volume 1: Chronology,Christina Scull/Wayne G. Hammond,4.51,2006
Sauron Defeated: The History of The Lord of the Rings  Part Four (The History of Middle-Earth  #9),J.R.R. Tolkien/Christopher Tolkien,4.01,1992
The J.R.R. Tolkien Companion and Guide  Volume 2: Reader's Guide,Wayne G. Hammond/Wayne G. Hammond,4.46,2006
Tales from the Perilous Realm,J.R.R. Tolkien,4.08,2002
Tolkien: Man and Myth: A Literary Life,Joseph Pearce,4.05,2001
Roverandom,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond,3.87,2002
The History of Middle-Earth Index (The History of Middle-Earth  #13),J.R.R. Tolkien/Christopher Tolkien,4.25,2002
The Lost Road and Other Writings (The History of Middle-earth  #5),J.R.R. Tolkien/Christopher Tolkien,3.97,2002
Tolkien's Modern Middle Ages,Jane Chance/Alfred Siewers,3.62,2005
Understanding The Lord of the Rings: The Best of Tolkien Criticism,Rose A. Zimbardo/Neil D. Isaacs,4.02,2005
Faërie,J.R.R. Tolkien/Francis Ledoux,3.54,2003
The Hobbit  or  There and Back Again,J.R.R. Tolkien/Alan  Lee,4.27,1997
Ranma 1/2  Vol. 36 (Ranma ½ (US 2nd)  #36),Rumiko Takahashi,4.14,2006
Ranma ½  Vol. 1 (Ranma ½ (US 2nd)  #1),Rumiko Takahashi,4.15,2003
Ranma 1/2  Vol. 35 (Ranma ½ (US 2nd)  #35),Rumiko Takahashi,4.1,2006
Ranma 1/2  Vol. 34 (Ranma ½ (US 2nd)  #34),Rumiko Takahashi,4.08,2006
Ranma 1/2  Vol. 7 (Ranma ½ (US 2nd)  #7),Rumiko Takahashi,4.13,2004
Mermaid Saga  Vol. 2,Rumiko Takahashi,4.05,2004
The Mermaids Singing,Lisa Carey,3.77,2001
Maison Ikkoku  Volume 15 (Maison Ikkoku  #15),Rumiko Takahashi,4.36,2006
Maison Ikkoku  Volume 14 (Maison Ikkoku  #14),Rumiko Takahashi,4.3,2005
Maison Ikkoku  Volume 12 (Maison Ikkoku  #12),Rumiko Takahashi,4.27,2005
Maison Ikkoku  Volume 5 (Maison Ikkoku  #5),Rumiko Takahashi,4.22,2004
Maison Ikkoku  Volume 6 (Maison Ikkoku  #6),Rumiko Takahashi,4.19,2004
Maison Ikkoku  Volume 11 (Maison Ikkoku  #11),Rumiko Takahashi,4.28,2005
Maison Ikkoku  Volume 9 (Maison Ikkoku  #9),Rumiko Takahashi,4.19,2005
Rumic World Trilogy  Volume 3 (Rumic World Trilogy  #3),Rumiko Takahashi,3.88,1997
Nausicaä of the Valley of the Wind  Vol. 4 (Nausicaä of the Valley of the Wind  #4),Hayao Miyazaki/David Lewis/Toren Smith/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.59,2004
Nausicaä of the Valley of the Wind  Vol. 6 (Nausicaä of the Valley of the Wind  #6),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.62,2004
Nausicaä of the Valley of the Wind  Vol. 5 (Nausicaä of the Valley of the Wind  #5),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,2004
Nausicaä of the Valley of the Wind  Vol. 7 (Nausicaä of the Valley of the Wind  #7),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,2004
Nausicaä De La Vallée Du Vent  Tome 4,Hayao Miyazaki,4.59,2001
Nausicaä de la vallée du vent  tome 3,Hayao Miyazaki,4.56,2001
Homer's Daughter,Robert Graves,3.81,2005
The Absolute Sandman  Volume One,Neil Gaiman/Mike Dringenberg/Chris Bachalo/Michael Zulli/Kelly Jones/Charles Vess/Colleen Doran/Malcolm Jones III/Steve Parkhouse/Daniel Vozzo/Lee Loughridge/Steve Oliff/Todd Klein/Dave McKean/Sam Kieth,4.65,2006
Preludes & Nocturnes (The Sandman  #1),Neil Gaiman/Sam Kieth/Mike Dringenberg/Malcolm Jones III/Todd Klein/Karen  Berger,4.24,1998
Berlin Diary: The Journal of a Foreign Correspondent 1934-1941,William L. Shirer/Gordon A. Craig,4.29,2002
This Is Berlin: Reporting from Nazi Germany 1938-40,William L. Shirer/John Keegan/Inga Shirer Dean,4.24,2002
The Nightmare Years: 1930-40 (20th Century Journey  #2),William L. Shirer,4.24,2008
The Collapse of the Third Republic,William L. Shirer,4.21,1994
Something Borrowed (Darcy & Rachel  #1),Emily Giffin,3.85,2005
Something Borrowed  Something Blue,Elaine Barbieri/Constance O'Banyon/Evelyn Rogers/Bobbi Smith,3.94,2000
The Major Plays,Anton Chekhov/Ann Dunnigan/Rosamund Bartlett/Robert Brustein,4.18,2006
The Complete Plays,Anton Chekhov/Laurence Senelick,4.47,2006
Anton Chekhov's Selected Plays,Anton Chekhov/Laurence Senelick,4.01,2004
Short Stories,Anton Chekhov/Ralph E. Matlaw,4.35,1979
Ward No. 6 and Other Stories,Anton Chekhov/David Plante/Constance Garnett,4.33,2003
The Dark Descent,David G. Hartwell/Clive Barker/Ray Bradbury/John Collier/Shirley Jackson/Stephen King/Joyce Carol Oates,4.25,1997
The Medusa in the Shield,David G. Hartwell/Robert Aickman/Charlotte Perkins Gilman/William Faulkner/Robert Smythe Hichens/Richard Matheson/Joanna Russ/Dennis Etchison/D.H. Lawrence/Tanith Lee/Flannery O'Connor/Ramsey Campbell/Thomas M. Disch/Henry James/Theodore Sturgeon/Clive Barker/Edgar Allan Poe/Stephen King/Michael  Bishop/H.P. Lovecraft/J. Sheridan Le Fanu,3.88,1991
A Fabulous  Formless Darkness,David G. Hartwell/Fritz Leiber/Fitz-James O'Brien/Shirley Jackson/Ambrose Bierce/Edith Wharton/Algernon Blackwood/Thomas M. Disch/Robert Aickman/Philip K. Dick/Gene Wolfe/Charles Dickens/Stephen King/Joyce Carol Oates/Walter de la Mare/Ivan Turgenev/Robert W. Chambers/Oliver Onions,4.18,1992
The Dark Descent  Vol 1: The Color of Evil,David G. Hartwell,4.12,1990
Bargaining for Advantage: Negotiation Strategies for Reasonable People,G. Richard Shell,3.95,2006
Bargaining for Advantage: Negotiation Strategies for Reasonable People,G. Richard Shell,3.95,2000
The Silence of the Lambs and Red Dragon,Thomas  Harris,4.48,1991
The Silence of the Lambs,Yvonne Tasker,4.27,2002
King Solomon's Mines (Allan Quatermain  #1),H. Rider Haggard,3.8,2002
Mine  All Mine!: A Book About Pronouns,Ruth Heller,4.09,1999
A Faith Like Mine,Laura Buller/D.K. Publishing,3.91,2005
Speaks the Nightbird (Matthew Corbett  #1),Robert R. McCammon,4.13,2002
The Bishop's Boys: A Life of Wilbur and Orville Wright,Tom D. Crouch,4.17,2003
The Insomnia Answer: A Personalized Program for Identifying and Overcoming the Three Types of Insomnia,Paul Glovinsky/Art Spielman,3.93,2006
Cognitive Behavioral Treatment of Insomnia: A Session-By-Session Guide,Michael L. Perlis/Carla Jungquist/Michael T. Smith,4.05,2005
Healing Therapies for Overcoming Insomnia,Peter  Van Houten/Rich McCord,3.6,2005
The Attraction,Douglas Clegg,3.62,2006
Nightmare House (Harrow House  #1),Douglas Clegg,3.36,2004
The Abandoned (Harrow House  #4),Douglas Clegg,3.45,2005
The Nightmare Chronicles,Douglas Clegg,3.75,1999
Mischief (Harrow House  #2),Douglas Clegg,3.49,2000
Purity (Dark Coming of Age  #1),Douglas Clegg,3.79,2000
The Hour Before Dark,Douglas Clegg,3.76,2003
The Halloween Man,Douglas Clegg,3.36,1998
The Sisters: The Saga of the Mitford Family,Mary S. Lovell,3.97,2003
Soldiers of Salamis,Javier Cercas/Anne McLean,3.81,2005
Spandau: The Secret Diaries,Albert Speer,4.13,1976
El coronel no tiene quien le escriba,Gabriel García Márquez,3.75,2006
Of Love and Other Demons,Gabriel García Márquez,3.98,1995
Noticia de un secuestro,Gabriel García Márquez,3.85,2006
Chronicle of a Death Foretold,Gabriel García Márquez/Gregory Rabassa,3.97,2003
Ojos de perro azul,Gabriel García Márquez,3.74,2006
The General in His Labyrinth,Gabriel García Márquez/Edith Grossman,3.68,2004
La increíble y triste historia de la cándida Eréndira y de su abuela desalmada,Gabriel García Márquez,3.9,2006
The Autumn of the Patriarch,Gabriel García Márquez/Gregory Rabassa,3.85,2006
Cien años de soledad,Gabriel García Márquez,4.07,2006
El amor en los tiempos del cólera,Gabriel García Márquez,3.91,1985
Relato de un náufrago,Gabriel García Márquez,3.78,2006
Relato de Um Náufrago,Gabriel García Márquez/Remy Gorga Filho,3.78,1995
The Complete Poems,William Blake/Alicia Suskin Ostriker,4.24,1977
The Marriage of Heaven and Hell,William Blake,4.24,1994
The Stranger from Paradise: A Biography of William Blake,G.E. Bentley Jr.,4.06,2003
The Complete Stories and Poems,Edgar Allan Poe,4.38,1984
Complete Tales and Poems,Edgar Allan Poe,4.38,2009
The Edgar Allan Poe Audio Collection,Edgar Allan Poe,4.39,2000
18 Best Stories by Edgar Allan Poe,Edgar Allan Poe/Vincent  Price/Chandler Brossard,4.02,1965
Complete Poems (Library of Classic Poets),Edgar Allan Poe,4.17,2001
Edgar Allan Poe A to Z,Dawn B. Sova,4.33,2001
Selected Letters  1940-1956,Jack Kerouac/Ann Charters,4.13,1996
The Wild Boys,William S. Burroughs,3.6,1994
Nova Express (The Nova Trilogy  #3),William S. Burroughs,3.67,1994
Last Words: The Final Journals,William S. Burroughs/James Grauerholz,3.98,2001
The Soft Machine (The Nova Trilogy #1),William S. Burroughs,3.35,1994
